word,explanation,example_sentence
civil,"市民の,一般市民の;市民(公民)としての  / (軍・教会に対して)民間の,世俗の  / 国内に起こる;政府と国民との間の  / 民法の,民事の  / 礼儀正しい,ていねいな",The civil rights movement fought for equal rights for all citizens.
civilization/civilisation,"〈U〉〈C〉(物質的・社会的・科学的・政治的に高度な)文明;(特定の地域・国民・時代に発達した)文明[様式]/《集合的に》文明世界;文明人/〈U〉(…の)文明化,開化《+of+名》",The ancient civilization of Egypt built impressive pyramids.
claim,"〈C〉《...に対する》 要求, 請求 《for, to ...》 / 〈C〉主張,断言,公言  / 〈U〉(物事を)要求する権利(資格),請求権",She filed a claim with her insurance company after the accident.
classical,"古典の;古典時代の;古典様式の  / (文学・芸術において)古典主義の(簡潔で調和を保ち洗練されているのが特徴)  / (ジャズ・フォークなどに対して主として20世紀初頭までの)古典派の  / (新奇な・実験的なものではなく)伝統的な,正統的な  / (専門科目に対して)教養科目の",I enjoy listening to classical music.
classify,を分類する；類別する；等級別にする；機密扱いにする,It is important to classify the different types of animals.
clear,"《...を》...から取り除く《of ...》 / 《…から》〈物〉を取り除く 《from , out of, off ...》 / 明るくなる",There's a lot of mess to clear up.
click,"(掛け金をかけたり,錠を回したりする時の)カチリという音  / カチリと鳴る物;掛け金","If you enjoyed this, please give a click on the vote link!"
cliff,"(海に臨む)『がけ』,絶壁","The hiker stood on the edge of the cliff, overlooking the sea."
climate,"〈U〉〈C〉気候  / 〈C〉(ある特定の気候をもっている)地方,風土  / 〈U〉〈C〉(地域,時代の)傾向,風潮",The climate in this region is very hot and humid.
climber,"よじ登る人,登山者 / はい登り植物(ツタなど);(キツツキなど)樹幹をよじ登る鳥 / 《複数形で》登攀(とうはん)補助用具(climbing ironsなど)",The climber reached the summit of the mountain.
clinic,"〈U〉(医学の)臨床講義  / 〈C〉《集合的に》臨床講義のクラス  / 〈C〉臨床講義室  / 〈C〉(病院・医科大学・社会事業団などに付属した)診療所;《形容詞を判って》医療施設,病院  / 〈C〉(警察・学校・社会事業団などに付属した)相談所",I have an appointment at the clinic tomorrow.
clip,"〈C〉紙ばさみ,クリップ / 留める物 / (機関銃の) 挿弾子（そうだんし）, 弾倉 / 〈C〉(頭髪・羊毛などを)刈り込むこと,切り取ること",He wore a tie clip to keep his tie in place.
closely,"ぴったりと, きっちりと / 詳しく, じっくりと / 近く",She watched closely as the magician performed his tricks.
coal,〈U〉石炭 / 〈C〉(一個の)石炭 / 燃えている燃料,Coal is a fossil fuel that is used for power generation and heating.
coast,《...を》滑降する《along ...》,Pete came coasting down the hill on his sled.
coastal,"海岸の,沿岸の",I love taking long walks along the coastal path.
cod,タラ （鱈）、=codfish 1,I love to eat cod fish.
coffin,"『棺』,ひつぎ",The coffin was carried by six pallbearers.
collapse,〈U〉(建造物などの) 崩壊／崩壊させる／崩壊する,The house was on the verge of collapse.
collar,"(衣服の)えり, えり首 / (犬などの)首輪",She adjusted her collar before leaving the house.
columnist,"(新聞・雑誌などの)コラムニスト,特約寄稿家",She is a well-known columnist for a popular magazine.
combination,"〈U〉(…の)結合,組み合わせ;〈C〉(…の)組み合わされたもの,結合体《+of+名》  / 〈U〉(…との)連合,団結,共同,提携;〈C〉連合体,共同体,組合《+with+名》  / 〈C〉=combination lock  / 《複数形で》(また《話》coms)コンビネーション(上下続きの肌着)",The combination of flavors in this dish is amazing.
combine,を結合する / 《...と》...を兼ね合わせる《with ...》 / 結合する,I like to combine different flavors when cooking.
comedian,"喜劇俳優,コメディアン / 客を笑わせる芸人 / (一般に)こっけいな人,おどけ者",He is a famous comedian.
comedy,〈U〉(劇の一部門としての)喜劇;〈C〉(一編の作品としての)喜劇  / 〈U〉〈C〉(劇・文学作品・人生などの)喜劇的要素;(実人生における)喜劇的事件(場面),I love watching comedy movies.
comet,"『慧星』,ほうき星",I saw a comet in the night sky.
comfort,"〈U〉慰め / 〈C〉慰めを与えるもの / 〈U〉快適さ, 安楽",I love the comfort of my cozy bed.
comma,"(句読点の)コンマ(,)",I need to use a comma in this sentence.
command,〈C〉命令〈U〉指揮 / 抑制,He issued a command to his troops.
comment,"(…についての)論評,解説,注釈,意見《+on(upon)+名》  / うわさ,世評",I would like to make a comment on this issue.
commercial,"商業上の,通商上の,貿易上の  / 営利的な,もうけ主義の;市販用の  / 広告放送の",The commercial sector is experiencing rapid growth.
commit,〈罪・過失など〉を犯す / 《…に》…を委託する《to ...》 / 《しばしば受動態で》に専念する / を約束する,He committed a crime.
common sense,"常識, 良識, 分別 / 《It is ~ for A to do/that ...》Aが...ということは良識的な判断だ",Using turn signals while driving is common sense.
commonly,"一般に, 通例, 普通 / 俗に,下品に","Commonly, people prefer to eat healthy food."
companion,"仲間, 友 / 《…の》対の一方《to ...》",She will be a good companion for him.
comparison,"《...と...との》 比較 《of ... with ...》, 《…間の》比較《between ...》 / 《…を…に》たえること《of ... with, to ...》 / (形容詞・副詞の)比較変化",The comparison of their performance showed that Jane was a more effective leader than Mark.
compete,"(…と…を)競う,競争する《+with+名+for+名》  / 《通令否定文で》(…に)匹敵する《+with+名》",They compete against each other in the swimming competition.
competitive,"競争の, 競争による / 競争心の強い",She is very competitive and always wants to win.
competitor,"競争者,競争相手,競合他社",She is a tough competitor in the business world.
complement,"(あるものを完全にするため)(…を)補う物(事)《+of+名》  / 補語(文法で文の成分の一つ)  / (必要な)全数,全量;(船の)定員",Eating a balanced diet is the complement of a healthy lifestyle.
complete,"…'を'仕上げる,終える  / …'を'完全なものにする,完成する",I have completed all of my tasks.
completely,"完全に,全く,十分に",The answer is completely wrong.
complex,"いくつかの部分から成る,複合の,合成の  / 複雑な,入りくんだ,こみいった(complicated)",The human brain is a complex organ.
complicate,...を複雑にする,Your refusal to help complicated matters.
complicated,"『複雑な』,込み入った(complex)",The instructions for assembling the furniture were so complicated that I had to ask for help.
compliment,"〈C〉賛辞, ほめ言葉 / お世辞 / (行為・言葉による)敬意 / 《複数形で》あいさつの言葉",Your compliment really made my day.
compose,"を構成する / 〈詩など〉を作る,を書く, 〈曲〉を作る, 〈絵の構図〉を作る / 〈自分,自分の気持ち〉を静める / 〈活字〉を組む, …を活字に組む / 〈争いなど〉を解決する,を調停する / 詩を作る, 作曲する",The committee is composed of members from different departments.
composition,"〈U〉創作, 作文, 作曲 / 《混合物などの》 成分 《of ...》 / 〈C〉混合物, 合成物",She enjoys composition and spends hours writing songs.
compound,"〈C〉混合物,化合物 / 複合語",Alumina is a white crystalline compound.
compromise,"〈U〉〈C〉《...との》 妥協, 和解 《with ...》 / 〈C〉妥協案, 折衷案",Finding a compromise is essential in any negotiation.
concentration,"〈U〉(…への)(光線・注意などの)集中;(仕事などへの)専念,専心《+on+名》  / 〈C〉(人口などの)集中  / 〈U〉濃縮;〈液体の〉濃度",I need to improve my concentration if I want to succeed.
concept,"(特に哲学用語として)(…の)概念,観念《+of+名》,(…という)概念《+that節》",The concept of time is difficult to grasp.
concerned,"《通例名詞の後に用いて》関係のある,かかわりのある / 心配そうな,気づかっている",I am concerned about the safety of my children.
conclude,"《文》〈演説・論文・会合〉'を'終わりにする,終える  / 〈事柄など〉'を'結論する,〈行動・意見など〉'を'決定する  / 〈条約など〉'を'締結する,結ぶ  / (…で)〈話・文などが〉終わる,結論になる,〈人が〉話を結ぶ《+with+名(doing)》",They will conclude the meeting with a final statement.
conclusion,"〈C〉〈U〉終わり,終結,結末  / 〈C〉結論,決定,判断;(三段論法の)断案  / 〈U〉〈C〉(条約などの)締結,妥結",The conclusion of the story was unexpected.
conduct,"〈U〉《文》(人の) 行為, 品行 / 指導 〈人など〉を導く / 〈業務など〉を指導する / 《オーケストラなど》の指揮をする",Such conduct is unworthy of a teacher.
confidence,"〈U〉信頼 / 《...を》信頼すること《in ...》 / (自分の思想・能力・行動などに対する) 確信,自信 / 〈C〉打ち明け話",She spoke with confidence during the presentation.
confirm,"を確かめる,を確証する / 《~ to A that ...》(Aに)...ということを確認する / 《~ A in ...》(Aの)...を強める, (...の点で)Aに確信を持たせる",Please confirm your reservation.
